Startup received!

I ,time,shin_cal_tot,shin_cal_gyr,shin_cal_acc,shin_cal_mag | foot_cal_tot,foot_cal_gyr,foot_cal_acc,foot_cal_mag | shin_qw,shin_qx,shin_qy,shin_qz | foot_qw,foot_qx,foot_qy,foot_qz | shin_ax,shin_ay,shin_az | foot_ax,foot_ay,foot_az
F ,time | val
L ,time | val
M ,time | potL_cur,potR_cur | potL_adj,potR_adj | targetPotL,targetPotR | motorCmdL,motorCmdR
LOG,time | msg
ERR,msg

LOG,97977 | Motors started.
I ,113961,2,3,1,3,0,3,1,3,0.0553,0.6,-0.1386,0.7858,-0.7764,0.0219,0.08,-0.6247,15.23,5.73,2.22,5.96,-11.32,15.86
F ,113961,561
I ,113972,2,3,1,3,0,3,1,3,0.0532,0.6046,-0.1375,0.7827,-0.7759,0.0177,0.0877,-0.6244,10.81,-0.11,0.72,5.88,-8.72,15.22
F ,113972,569
I ,113983,2,3,1,3,0,3,1,3,0.0523,0.6098,-0.1392,0.7783,-0.775,0.0139,0.0939,-0.6246,9.07,-6.82,-2.66,5.73,-3.27,13.77
F ,113983,576
L ,113983,107
I ,113993,2,3,1,3,0,3,1,3,0.0507,0.6151,-0.1407,0.774,-0.7743,0.0103,0.0996,-0.6247,10.8,-9.13,-4.44,2.08,0.4,10.3
I ,114083,2,3,1,3,0,3,1,3,0.0226,0.6553,-0.1315,0.7434,-0.7729,-0.0254,0.1148,-0.6234,10.53,-1.37,-0.77,0.77,-0.02,8.18
F ,114083,591
L ,114083,106
I ,114093,2,3,1,3,0,3,1,3,0.0202,0.6599,-0.1319,0.7393,-0.7727,-0.0284,0.1167,-0.6232,13.92,-3.82,-3.74,2.26,0.0,9.93
F ,114093,581
L ,114093,107
F ,114104,182
F ,114112,561
I ,114193,2,3,1,3,0,3,1,3,0.0125,0.6958,-0.1397,0.7044,-0.7719,-0.055,0.1268,-0.6204,10.05,-1.53,-1.28,2.43,-0.27,9.6
F ,114193,430
I ,114232,2,3,1,3,0,3,1,3,0.0176,0.7091,-0.1472,0.6893,-0.7725,-0.0576,0.129,-0.619,9.85,-2.48,-1.54,2.52,-0.82,9.53
F ,114232,308
L ,114232,106
I ,114242,2,3,1,3,0,3,1,3,0.0197,0.7122,-0.1497,0.6854,-0.7727,-0.0578,0.1296,-0.6187,9.88,-2.54,-1.35,2.31,-1.13,9.19
F ,114242,281
L ,114242,111
I ,114253,2,3,1,3,0,3,1,3,0.0216,0.7153,-0.152,0.6816,-0.7728,-0.0581,0.1303,-0.6183,9.75,-2.53,-1.4,2.83,-0.85,9.72
F ,114253,251
L ,114253,112
F ,114257,236
L ,114257,112
I ,114261,2,3,1,3,0,3,1,3,0.023,0.7183,-0.1539,0.678,-0.7729,-0.0584,0.1311,-0.6179,9.65,-2.13,-1.39,1.88,-0.57,8.97
I ,114272,2,3,1,3,0,3,1,3,0.0244,0.7213,-0.1557,0.6744,-0.773,-0.0588,0.1323,-0.6175,9.98,-1.3,-1.83,2.83,-0.54,9.39
F ,114272,227
L ,114272,118
I ,114282,2,3,1,3,0,3,1,3,0.0256,0.7242,-0.1574,0.6708,-0.7731,-0.0591,0.1333,-0.6171,9.84,-1.49,-2.74,2.44,-0.54,8.86
F ,114282,195
L ,114282,121
I ,114292,2,3,1,3,0,3,1,3,0.0269,0.7269,-0.1589,0.6674,-0.7731,-0.0593,0.1348,-0.6168,8.75,-1.61,-1.46,3.04,-0.38,9.75
I ,114342,2,3,1,3,0,3,1,3,0.0301,0.7401,-0.1633,0.6516,-0.7724,-0.0607,0.1431,-0.6157,9.22,-1.75,-1.79,3.18,-0.97,9.22
F ,114342,103
L ,114342,132
I ,114353,2,3,1,3,0,3,1,3,0.0313,0.7426,-0.1645,0.6483,-0.7721,-0.0612,0.1449,-0.6156,9.43,-2.29,-1.63,2.79,-0.74,9.39
L ,114357,135
I ,114372,2,3,1,3,0,3,1,3,0.0338,0.7478,-0.1668,0.6417,-0.7717,-0.063,0.1486,-0.6151,9.85,-1.84,-1.01,2.07,-0.69,8.85
F ,114372,100
L ,114372,137
I ,114392,2,3,1,3,0,3,1,3,0.0366,0.7531,-0.1693,0.6346,-0.7712,-0.0657,0.1536,-0.6141,9.42,-2.11,0.2,3.05,-0.63,9.1
F ,114392,99
I ,114412,2,3,1,3,0,3,1,3,0.0418,0.7588,-0.1734,0.6263,-0.7706,-0.0688,0.1599,-0.613,9.15,-3.11,0.36,2.93,-1.15,9.06
I ,114453,2,3,1,3,0,3,1,3,0.0524,0.773,-0.1808,0.6058,-0.7684,-0.0781,0.1759,-0.6102,8.65,-2.57,0.99,3.27,-0.94,8.88
F ,114453,92
F ,114462,84
L ,114462,157
F ,114467,84
L ,114467,159
I ,114482,2,3,1,3,0,3,1,3,0.0581,0.7865,-0.1829,0.5869,-0.7655,-0.0877,0.1911,-0.608,8.77,-3.05,-0.97,3.65,-0.87,8.85
F ,114482,82
L ,114482,163
I ,114492,2,3,1,3,0,3,1,3,0.0587,0.7916,-0.182,0.5803,-0.7643,-0.0914,0.1964,-0.6072,8.56,-2.34,-1.48,3.65,-0.93,8.73
F ,114492,90
L ,114492,166
L ,114497,166
I ,114503,2,3,1,3,0,3,1,3,0.0593,0.7968,-0.181,0.5733,-0.7631,-0.0955,0.2019,-0.6064,9.31,-2.53,-1.72,3.89,-0.87,9.06
F ,114503,81
I ,114512,2,3,1,3,0,3,1,3,0.0598,0.8021,-0.1798,0.5662,-0.7617,-0.1002,0.2074,-0.6054,9.56,-2.26,-2.1,3.65,-1.64,8.68
F ,114512,10
L ,114603,107
M ,114603,873,248,873.0,248.0,323,700,1400,1600
F ,114612,83
L ,114612,107
M ,114612,873,248,873.0,248.0,323,700,1400,1600
I ,114622,2,3,1,3,0,3,1,3,0.0801,0.865,-0.1743,0.4635,-0.7363,-0.2022,0.2907,-0.5765,11.05,-0.64,3.42,6.05,-0.68,8.89
F ,114622,63
L ,114622,107
L ,114632,106
M ,114633,873,248,873.0,248.0,323,700,1400,1600
F ,114642,79
L ,973035011,30218
L ,114657,108
I ,114722,2,3,1,3,0,3,1,3,0.0968,0.9298,-0.1584,0.3176,-0.635,-0.3707,0.4776,-0.4807,12.35,-1.58,-9.98,9.17,-3.17,17.12
F ,114722,49
F ,114753,69
L ,114753,107
M ,114754,873,248,873.0,248.0,323,700,1400,1600
L ,114762,107
I ,114782,2,3,1,3,0,3,1,3,0.0969,0.9487,-0.1416,0.2654,-0.6086,-0.4243,0.5018,-0.4445,7.84,6.65,-9.15,0.75,-4.4,13.77
F ,114782,73
L ,114782,106
I ,114922,2,3,1,3,0,3,1,3,0.1269,0.9006,-0.1447,0.3895,-0.7013,-0.3261,0.3512,-0.5275,-161.3,5.15,2.59,0.03,2.59,13.07
I ,114953,2,3,1,3,0,3,1,3,0.1341,0.8701,-0.1494,0.45,-0.7366,-0.2758,0.3004,-0.5394,4.61,2.9,-8.56,8.13,1.86,11.55
F ,114954,58
L ,114954,107
M ,114954,873,248,873.0,248.0,923,100,1532,1400
I ,114972,2,3,1,3,0,3,1,3,0.1443,0.8439,-0.1557,0.4926,-0.7595,-0.2387,0.264,-0.5443,3.77,2.1,-9.34,9.86,1.14,12.27
F ,114972,10
F ,114982,61
L ,114982,2633
F ,114992,63
L ,114992,107
I ,115022,2,3,1,3,0,3,1,3,0.16,0.7619,-0.1692,0.6043,-0.8043,-0.1356,0.1691,-0.5531,6.32,0.31,-9.14,12.13,-3.99,15.3
F ,115022,62
L ,115022,106
F ,115047,65
M ,115053,873,249,873.0,249.0,923,100,1532,63875
F ,115063,71
L ,16973827,259
L ,115092,107
M ,1728095721,7682,55551,7165.0,-2298.0,38398,47364,522,64973
F ,115223,79
F ,115232,116
L ,115232,107
I ,115254,1,3,1,3,0,3,1,3,0.1142,0.5632,-0.1625,0.802,-0.7943,0.1068,0.0223,-0.5975,18.88,1.72,-7.59,-11.64,-6.63,6.48
F ,115254,321
F ,115304,588
L ,115304,10
F ,115382,589
F ,115392,522
L ,115407,107
F ,115417,563
L ,115417,107
I ,115423,1,3,1,3,0,3,1,3,0.0452,0.6698,-0.1121,0.7325,-0.778,-0.0475,0.1132,-0.616,8.11,2.0,-4.86,2.24,1.57,9.89
I ,115432,1,3,1,3,0,3,1,3,0.0428,0.6749,-0.1121,0.7279,-0.7781,-0.0481,0.1133,-0.6159,13.27,1.53,-6.03,3.46,1.92,11.93
F ,115432,547
L ,115432,107
I ,115442,1,3,1,3,0,3,1,3,0.0405,0.6791,-0.1119,0.7243,-0.7781,-0.048,0.1136,-0.6157,11.44,3.88,-3.22,2.61,2.16,10.32
F ,115442,539
L ,115442,107
I ,115455,1,3,1,3,0,3,1,3,0.0384,0.6823,-0.1119,0.7213,-0.778,-0.0476,0.1147,-0.6157,9.59,3.42,-3.31,2.48,0.12,10.64
F ,115455,516
L ,115455,106
F ,115457,512
L ,115457,106
I ,115464,1,3,1,3,0,3,1,3,0.0363,0.6854,-0.1126,0.7185,-0.778,-0.0471,0.1157,-0.6157,9.22,2.61,-4.03,1.75,-0.37,9.18
I ,115474,1,3,1,3,0,3,1,3,0.0346,0.6881,-0.1141,0.7157,-0.7777,-0.0465,0.1173,-0.6157,11.14,-1.07,-4.51,2.5,-0.83,9.97
F ,115474,487
L ,115474,107
F ,115507,435
I ,115573,1,3,1,3,0,3,1,3,0.0415,0.6915,0.0003,0.0259,0.0473,0.7005,-0.157,0.6944,-77.67,-4.27,12.8,4.51,-307.2,271.46
I ,115705,2,3,1,3,0,3,1,3,0.0556,0.7304,-0.1727,0.6585,-0.7774,-0.0462,0.1363,-0.6122,9.47,-1.04,-3.69,2.39,-0.93,9.02
F ,115705,186
L ,115705,136
L ,115731,144
I ,115764,2,3,1,3,0,3,1,3,0.0569,0.7462,-0.1728,0.6403,-0.7771,-0.0528,0.144,-0.6102,9.63,-1.36,-1.63,2.77,-1.1,9.31
F ,115764,93
I ,115792,2,3,1,3,0,3,1,3,0.0626,0.7532,-0.1768,0.6304,-0.7774,-0.0569,0.1492,-0.6083,9.96,-2.08,-0.69,2.18,-0.47,9.14
F ,115792,90
L ,115792,154
I ,115814,2,3,1,3,0,3,1,3,0.0673,0.7584,-0.1798,0.6228,-0.7774,-0.0613,0.1547,-0.6065,10.17,-2.32,2.32,61.84,-77.74,-6.4
F ,115824,68
L ,115831,156
F ,115837,69
L ,115837,156
I ,115855,2,3,1,3,0,3,1,3,0.0792,0.7716,-0.1865,0.6029,-0.7766,-0.0731,0.1699,-0.6021,9.02,-2.97,1.21,3.17,-0.7,8.85
F ,115855,68
L ,115855,157
M ,115855,873,248,873.0,248.0,323,700,1400,1600
F ,16253251,700
L ,115867,158
I ,115881,2,3,1,3,0,3,1,3,0.085,0.785,-0.1869,0.5842,-0.774,-0.0854,0.1871,-0.5987,9.03,-2.27,0.58,81.92,4.52,-222.72
L ,115881,157
F ,115892,59
L ,115892,157
M ,115905,873,248,873.0,248.0,323,50378,873,248
I ,115931,3,3,1,3,0,3,1,3,0.0913,0.8138,-0.1828,0.5439,-0.7667,-0.1235,0.2226,-0.5892,10.42,-1.15,-2.53,-260.8,33.2,-40.76
I ,115955,3,3,1,3,0,3,1,3,0.0944,0.8212,3.1202,1.4842,1.8697,2.5065,1.5107,-0.1025,-304.64,110.09,-186.96,8.73,2.48,3.23
I ,115974,3,3,1,3,0,3,1,3,0.0988,0.8402,-0.18,0.5018,-0.7564,-0.1726,0.2591,-0.5751,11.06,0.41,1.66,4.92,-1.58,-150.98
L ,115974,107
M ,65989,3331,26880,-2045.0,26880.0,63489,17154,48133,30726
I ,116014,3,3,1,3,0,3,1,3,0.1076,0.869,-0.1786,0.4487,-0.7384,-0.2284,0.3029,-0.5574,16.25,-0.93,-0.01,6.9,-0.72,10.52
F ,116014,50
L ,116014,106
M ,116014,873,248,873.0,248.0,323,700,1400,1600
I ,116024,3,3,1,3,0,3,1,3,0.1111,0.8759,-0.1787,0.4341,-0.7317,-0.2428,0.3203,-0.5504,15.9,0.34,1.05,8.75,0.63,15.18
F ,116024,43
L ,116024,107
M ,116024,873,248,873.0,248.0,323,700,1400,1600
F ,116031,46
L ,116031,107
I ,116055,3,3,1,3,0,3,1,3,0.1227,0.896,-0.1799,0.3868,-0.7062,-0.2932,0.3895,-0.5131,15.5,-0.44,-2.36,11.43,-0.5,20.39
F ,116055,51
L ,116055,107
M ,116055,873,248,873.0,248.0,323,700,1400,1600
I ,116064,3,3,1,3,0,3,1,3,0.1265,0.9025,-0.1806,0.3699,-0.6967,-0.3129,0.4128,-0.4962,15.57,-3.81,-5.25,14.52,0.02,23.29
F ,116064,44
L ,116064,10
F ,116114,31
L ,116114,106
M ,116114,873,248,873.0,248.0,923,100,1532,1400
I ,116132,2,3,1,3,0,3,1,3,0.1434,0.9318,-0.1744,0.2838,-0.6599,-0.3997,0.4921,-0.403,10.86,194.88,0.01,-149.17,1.06,26.37
M ,116192,873,248,873.0,248.0,923,100,1532,1400
F ,27918571,64659
F ,116224,86
L ,116224,107
M ,116224,873,248,873.0,248.0,923,100,1532,1400
F ,116227,82
L ,116227,106
I ,116242,2,3,1,3,0,3,1,3,0.1407,0.9237,-0.1592,0.3186,-0.6788,-0.3657,0.4198,-0.4785,4.71,1.52,-9.39,4.19,0.4,11.6
F ,116242,67
L ,116242,107
M ,116242,874,248,874.0,248.0,923,100,1531,1400
I ,116254,2,3,1,3,0,3,1,3,0.1394,0.9194,-0.1588,0.3316,-0.6852,-0.3545,0.4079,-0.4881,3.19,1.62,-8.18,1.51,0.15,10.16
L ,116257,106
I ,116274,2,3,1,3,0,3,1,3,0.1353,0.9092,-0.1583,0.3604,-0.6996,-0.33,0.3811,-0.5062,5.11,2.11,-8.26,4.42,1.5,8.85
F ,116274,67
L ,116274,107
M ,116274,873,248,873.0,248.0,923,100,1532,1400
I ,116282,2,3,1,3,0,3,1,3,0.1333,0.9028,-0.1579,0.377,-0.6996,-0.33,0.3811,-0.5062,3.73,3.22,-6.78,5.38,3.82,9.81
F ,116282,74
L ,116282,106
M ,116282,873,248,873.0,248.0,923,100,1532,1400
F ,116292,75
L ,116292,106
M ,116292,873,247,873.0,247.0,923,100,1532,1400
I ,116305,2,3,1,3,0,3,1,3,0.1314,0.8875,-0.158,0.4121,-0.7263,-0.2866,0.3368,-0.5261,3.09,3.51,-7.36,7.84,3.25,12.31
F ,116305,77
L ,116305,106
M ,116305,873,248,873.0,248.0,923,100,1532,1400
L ,116332,107
F ,2126841,26643
M ,116374,872,248,872.0,248.0,923,100,1532,1400
F ,116377,76
L ,116377,107
I ,116392,2,3,1,3,0,3,1,3,0.1559,0.7678,-0.1802,0.5947,-0.8148,-0.1215,0.1773,-0.5383,5.53,1.45,-7.69,10.48,-4.4,13.52
F ,116392,74
L ,116392,106
I ,116405,2,3,1,3,0,3,1,3,0.156,0.7503,-0.1826,0.6159,-0.8201,-0.1004,0.1601,-0.54,7.19,1.52,-7.55,12.93,-3.56,16.27
F ,185600,37628
F ,116414,75
L ,116414,107
I ,116442,2,3,1,3,0,3,1,3,0.1504,0.6737,-0.1883,0.6986,-0.8244,-0.0053,0.1039,-0.5562,9.03,0.62,-4.36,81.92,4.54,-84.48
F ,116474,81
L ,116474,107
F ,116482,2633
I ,116524,1,3,1,3,0,3,1,3,0.1226,0.5281,-0.1949,0.8173,-0.7953,0.1576,0.0288,-0.5845,5.13,-4.28,5.2,-30.69,-258.59,307.3
L ,116524,106
L ,116532,106
L ,116547,107
I ,116564,1,3,1,3,0,3,1,1,0.0772,-2.2252,0.7159,-0.7648,1.0209,2.9702,2.1761,-2.8696,-296.94,48.6,222.7,163.9,-115.19,-248.3
F ,116574,81
L ,116574,106
I ,116582,1,3,1,3,0,3,1,3,0.1142,0.5216,-0.2028,0.8208,-0.782,0.1621,0.0399,-0.6004,5.21,-7.32,-4.76,13.57,-0.72,8.7
I ,116592,1,3,1,3,0,3,1,3,0.1069,0.5303,-0.1938,0.8183,-0.7841,0.1458,0.0439,-0.6015,7.32,-2.5,-6.88,7.26,-7.65,7.8
F ,116592,92
L ,116592,107
F ,116597,125
L ,116597,106
F ,116617,305
L ,116617,108
I ,116624,1,3,1,3,0,3,1,3,0.0855,0.5566,-0.1692,0.8088,-0.785,0.0956,0.0391,-0.6107,6.4,3.38,-0.46,-1.62,-2.88,13.14
L ,116627,107
I ,116642,1,3,1,3,0,3,1,3,0.0751,0.5711,-0.163,0.8009,-0.7858,0.0751,0.036,-0.6127,13.56,0.36,7.15,-6.28,6.59,-1.51
F ,116642,480
L ,116642,108
F ,116647,504
I ,116664,1,3,1,3,0,3,1,3,0.062,0.5807,-0.1491,0.7979,-0.7751,0.0347,0.0571,-0.6282,13.77,7.09,3.41,10.86,18.1,23.25
F ,116664,585
L ,116664,106
L ,116682,106
I ,116704,1,3,1,3,0,3,1,3,0.0386,0.6058,-0.1214,0.7852,-0.7735,0.0019,0.0952,-0.6265,12.94,3.38,1.62,5.23,-6.55,15.77
F ,116704,596
L ,116704,107
I ,116732,1,3,1,3,0,3,1,3,0.0335,0.6273,-0.1176,0.769,-0.7717,-0.0076,0.1085,-0.6265,8.6,-5.61,-4.23,7.63,-5.55,14.6
F ,116732,586
F ,116743,585
L ,116747,107
I ,116754,1,3,1,3,0,3,1,3,0.0307,0.6404,-0.1185,0.7581,-0.7708,-0.0233,0.1139,-0.6263,11.64,-6.59,-8.18,4.73,-1.86,13.14
F ,116754,588
I ,116764,1,3,1,3,0,3,1,3,0.0293,0.6475,-0.119,0.7521,-0.7708,-0.0286,0.1138,-0.626,43.49,-48.66,-284.15,25.6,120.35,-53.66
F ,116843,507
L ,116843,106
I ,116854,1,3,1,3,0,3,1,3,0.0053,0.6898,-0.1064,0.7161,-0.7708,-0.0443,0.1192,-0.6242,10.06,-3.96,-3.05,2.69,-1.79,9.97
F ,116854,496
F ,116864,486
L ,116864,106
I ,116893,1,3,1,3,0,3,1,3,0.0089,0.7015,-0.12,0.7023,-0.7708,-0.0448,0.121,-0.6238,9.5,-4.94,-2.33,2.08,-1.25,9.48
F ,116893,445
L ,116893,106
I ,116904,1,3,1,3,0,3,1,3,0.0081,0.7037,-0.1209,0.6999,-0.7709,-0.0463,0.1213,-0.6235,10.35,-0.95,-1.57,2.18,-0.68,9.31
F ,116904,426
L ,116904,107
I ,116914,1,3,1,3,0,3,1,3,0.0069,0.706,-0.1211,0.6976,-0.7709,-0.0469,0.1217,-0.6233,10.5,-0.56,-1.12,2.06,-0.52,9.72
F ,116914,409
L ,116914,107
F ,116932,369
I ,116943,1,3,1,3,0,3,1,3,0.0056,0.7119,-0.1234,0.6913,-0.7709,-0.048,0.1228,-0.6229,9.68,-0.64,-1.27,2.69,-0.5,9.85
F ,116943,355
L ,116943,110
I ,116974,1,3,1,3,0,3,1,3,0.0093,0.7171,-0.1306,0.6844,-0.7708,-0.049,0.1258,-0.6226,10.1,-2.93,-2.38,12.68,-62.24,9.39
F ,117027,224
I ,117043,2,3,1,3,0,3,1,3,0.0189,0.7296,-0.1441,0.6681,-0.7708,-0.0523,0.1319,-0.621,9.1,-2.85,-0.87,2.7,-1.05,9.39
F ,117043,223
L ,117043,134
I ,117054,2,3,1,3,0,3,1,3,0.0205,0.7318,-0.1458,0.6652,-0.7708,-0.053,0.134,-0.6205,9.39,-2.23,-2.09,2.53,-1.22,9.03
F ,117054,196
L ,117054,138
F ,117064,159
L ,117064,140
I ,117114,2,3,1,3,0,3,1,3,0.0278,0.7449,-0.153,0.6486,-0.771,-0.0575,0.1403,-0.6184,9.6,-2.31,-1.36,2.72,-0.86,9.11
F ,117114,126
L ,117114,155
I ,117124,2,3,1,3,0,3,1,3,0.0296,0.7471,-0.1544,0.6457,-0.7709,-0.0584,0.1417,-0.618,9.65,-2.26,-0.85,3.03,-0.62,9.32
F ,117124,122
L ,117124,157
I ,117154,3,3,1,3,0,3,1,3,0.0347,0.7543,-0.1578,0.6362,-0.7709,-0.061,0.1469,-0.6167,9.38,-2.2,-0.09,3.11,-0.86,9.22
F ,117154,105
I ,117164,3,3,1,3,0,3,1,3,0.0368,0.7569,-0.1591,0.6327,-0.7708,-0.0621,0.149,-0.6162,9.67,-2.26,0.18,2.26,-1.58,8.98
F ,117164,103
F ,117174,105
L ,117174,170
I ,117193,3,3,1,3,0,3,1,3,0.0449,0.7657,-0.1641,0.6201,-0.7706,-0.0652,0.1544,-0.6147,9.64,-2.0,0.62,2.89,-1.0,8.89
F ,117193,96
I ,117214,3,3,1,3,0,3,1,3,0.0512,0.7725,-0.1678,0.6101,-0.7698,-0.0715,0.1653,-0.6122,9.43,-3.74,0.75,3.0,-0.72,9.05
F ,117214,94
L ,117214,181
F ,117217,90
I ,117223,3,3,1,3,0,3,1,3,0.054,0.7764,-0.1689,0.6046,-0.7698,-0.0715,0.1653,-0.6122,9.55,-3.38,0.63,2.88,-0.94,8.75
L ,117237,184
I ,117254,3,3,1,3,0,3,1,3,0.0585,0.7904,-0.1672,0.5863,-0.7662,-0.085,0.187,-0.6087,9.35,-1.9,0.27,3.27,-1.24,8.96
F ,117254,88
I ,117264,3,3,1,3,0,3,1,3,0.0598,0.7956,-0.1662,0.5794,-0.7651,-0.0901,0.1934,-0.6073,9.31,-1.75,-0.1,3.5,-1.3,8.97
F ,117264,83
L ,117264,184
I ,117273,3,3,1,3,0,3,1,3,0.0613,0.801,-0.1653,0.572,-0.7641,-0.0964,0.1998,-0.6056,8.39,-1.73,-0.09,3.72,-1.66,8.96
F ,117273,85
L ,117273,185
M ,117273,873,248,769.0,770.0,30751,33529,37398,2274
I ,117293,3,3,1,3,0,3,1,3,0.0637,0.7986,-0.104,0.2063,-0.6036,0.0964,-0.0164,-0.0116,3.45,-1.2,8.73,2.48,8.73,2.48
I ,117304,3,3,1,3,0,3,1,3,0.0657,0.8191,-0.1615,0.5464,-0.7601,-0.1234,0.221,-0.5983,10.76,-1.76,-0.87,4.13,-0.28,8.44
F ,117304,54
L ,117304,172
M ,117314,873,248,873.0,248.0,458,19203,769,768
I ,117332,3,3,1,3,0,3,1,3,0.0736,0.8383,-0.1605,0.5158,-0.7562,-0.147,0.238,-0.5914,10.75,-0.6,0.46,4.4,-1.38,8.21
F ,117332,2633
F ,117343,70
L ,117343,119
M ,117343,873,248,873.0,248.0,769,771,1313,18937
F ,65643,2633
F ,117364,47
M ,117364,873,248,873.0,248.0,323,700,1400,1600
F ,117367,57
L ,117367,107
I ,117393,3,3,1,3,0,3,1,3,0.0923,0.8805,-0.1573,0.4375,-0.7313,-0.2324,0.3018,-0.5657,18.05,-0.47,-1.42,7.05,-0.11,14.72
F ,117393,61
L ,117393,107
I ,117443,3,3,1,3,0,3,1,3,0.111,0.9136,-0.1562,0.3583,-0.6846,-0.3271,0.4107,-0.5054,13.32,-2.98,-7.15,14.53,-3.0,24.13
F ,117443,63
L ,117443,107
I ,117514,2,3,1,3,0,3,1,3,0.123,0.9411,-0.1444,0.2798,-0.6422,-0.4205,0.4842,-0.4197,7.36,5.03,-9.24,15.32,14.0,26.33
L ,117523,106
M ,117523,873,248,873.0,248.0,923,100,1532,1400
I ,117554,2,3,1,3,0,3,1,3,0.135,0.942,-0.1452,0.2706,-0.6466,-0.4166,0.4624,-0.4409,4.32,0.97,-8.94,-2.27,-0.68,8.11
F ,117554,63
L ,117554,107
M ,117554,873,248,873.0,248.0,923,100,1532,1400
I ,117564,2,3,1,3,0,3,1,3,0.1351,0.9412,-0.1457,0.273,-0.6492,-0.4116,0.4575,-0.4467,4.84,1.09,-8.09,-0.46,-0.66,9.72
F ,117564,64
L ,117564,106
M ,117564,873,248,873.0,248.0,923,100,1532,1400
I ,117573,2,3,1,3,0,3,1,3,0.1338,0.9399,-0.1459,0.2779,-0.6492,-0.4116,0.4575,-0.4561,42.65,-47.41,5.53,2.48,-10.19,5.67
F ,117627,84
L ,117627,107
I ,117632,2,3,1,3,0,3,1,3,0.1278,0.921,-0.1485,0.3365,-0.6855,-0.3389,-0.1497,0.3513,-69.4,-34.52,38.87,-49.79,5.76,2.53
I ,117673,2,3,1,3,0,3,1,3,0.1217,0.8943,-0.1536,0.402,-0.7235,-0.302,0.3466,-0.5149,5.42,3.57,-10.35,6.03,1.91,11.1
F ,117673,73
I ,117693,2,3,1,3,0,3,1,3,0.1246,0.8755,-0.1592,0.4388,-0.7451,-0.2683,0.3161,-0.5222,3.16,2.78,-9.02,8.55,3.16,11.98
F ,117693,73
L ,117693,107
M ,117693,873,248,873.0,248.0,923,100,1532,1400
L ,117697,107
I ,117704,2,3,1,3,0,3,1,3,0.1281,0.8641,-0.163,0.4584,-0.7563,-0.2503,0.2997,-0.5248,4.15,1.83,-10.02,8.77,3.05,11.51
F ,117704,210
I ,117723,2,3,1,3,0,3,1,3,0.1372,0.838,-0.1727,0.4989,-0.7792,-0.2117,0.2656,-0.5266,3.38,0.99,-8.18,9.68,1.8,11.02
F ,117723,81
M ,117723,873,248,873.0,248.0,923,100,1532,1400
F ,117743,80
L ,117743,106
I ,117754,2,3,1,3,0,3,1,3,0.147,0.7915,-0.1868,0.5629,-0.8113,-0.1495,0.2143,2.688,-20.45,268.8,-20.45,-258.56,256.05,-10.19
I ,117793,2,3,1,3,0,3,1,3,0.1477,0.7196,-0.1996,0.6483,-0.8348,-0.0626,0.1506,-0.5257,8.55,0.23,-7.44,13.72,-3.13,16.71
F ,117793,91
L ,117793,107
I ,117814,2,3,1,3,0,3,1,3,0.1459,0.6787,-0.203,0.6905,-0.836,-0.0158,0.1228,-0.5344,7.09,-0.68,-2.65,17.53,0.56,17.13
F ,117814,85
I ,117854,2,3,1,3,0,3,1,3,0.1379,0.5964,-0.2067,0.7631,-0.8275,0.0758,0.0698,-0.5519,7.46,-0.1,2.32,20.57,4.4,7.28
F ,117854,89
L ,117854,107
L ,117857,107
I ,117864,2,3,1,3,0,3,1,3,0.1352,0.5772,-0.208,0.7779,-0.8253,0.0959,0.0584,-0.5533,7.01,0.52,3.88,20.73,5.88,4.21
F ,117864,89
I ,117873,2,3,1,3,0,3,1,3,0.1322,0.5593,-0.2101,0.7908,-0.8234,0.1152,0.0486,-0.5533,6.51,-1.19,4.38,20.84,7.23,1.1
F ,117873,87
L ,117873,106
I ,117882,2,3,1,3,0,3,1,3,0.1291,0.5433,-0.2133,0.8015,-0.8216,0.1343,0.0418,-0.5523,6.51,-1.19,4.38,20.84,7.23,1.1
F ,117882,86
L ,117882,106
I ,117893,2,3,1,3,0,3,1,3,0.1266,0.5295,-0.218,0.8099,-0.8194,0.1526,0.0384,-0.5511,3.51,-7.86,11.22,25.65,9.71,-8.27
F ,117893,85
L ,117893,106
I ,117904,2,3,1,3,0,3,1,3,0.1264,0.5179,-0.2247,0.8156,-0.8158,0.1706,0.0382,-0.5511,2.04,-8.72,10.93,26.27,6.55,-11.69
F ,117904,85
L ,117904,106
I ,117914,2,3,1,3,0,3,1,3,0.1287,0.5099,-0.2327,0.818,-0.8115,0.1846,0.0402,-0.5527,2.72,-9.15,5.63,23.93,4.96,-14.93
F ,117914,86
L ,117914,106
I ,117923,2,3,1,3,0,3,1,3,0.1311,0.5067,-0.2395,0.8176,-0.8088,0.1893,0.0435,-0.5549,1.66,-8.85,3.8,19.21,4.86,-7.94
F ,117923,90
L ,117923,2633
I ,118093,2,3,1,3,0,3,1,3,0.0515,0.647,0.749,-0.8019,-0.0295,0.1196,-0.5845,0.0498,-3.41,-5.26,6.4,-0.56,13.89,26.3
L ,16705027,4618
L ,118104,106
I ,118114,2,3,1,3,0,3,1,3,0.0476,0.6585,-0.1454,0.7368,-0.8024,-0.0357,0.1192,-0.5836,13.43,-3.01,-9.22,2.68,0.1,12.39
F ,118114,560
L ,118114,107
F ,118127,557
L ,118127,107
L ,118193,122
