Startup received!

I ,shin_cal_tot,shin_cal_gyr,shin_cal_acc,shin_cal_mag | foot_cal_tot,foot_cal_gyr,foot_cal_acc,foot_cal_mag | shin_qw,shin_qx,shin_qy,shin_qz | foot_qw,foot_qx,foot_qy,foot_qz | shin_ax,shin_ay,shin_az | foot_ax,foot_ay,foot_az
F ,time | val
L ,time | val
M ,time | potL_cur,potR_cur | potL_adj,potR_adj | targetPotL,targetPotR | motorCmdL,motorCmdR
LOG,time | msg
ERR,msg

LOG,32373 | Motors started.
I ,1,3,0,2,0,3,1,2,0.0,0.6077,0.4788,0.4524,0.6918,0.1994,0.0,0.6672,8.86,0.0,0.0,8.06,0.0,6.13
F ,32688,54
L ,32688,95
I ,1,3,0,2,0,3,1,2,0.0,0.6057,0.478,0.4557,0.6933,0.1988,0.0,0.6668,8.38,0.0,0.0,8.32,0.0,6.05
F ,32697,52
L ,32697,95
F ,32703,47
L ,32703,94
I ,1,3,0,2,0,3,1,2,0.0,0.6039,0.4774,0.4589,0.695,0.1983,0.0,0.6661,8.52,0.0,0.0,8.23,0.0,5.36
L ,32713,95
I ,1,3,0,2,0,3,1,2,0.0,0.6024,0.4767,0.4618,0.6968,0.198,0.0,0.6651,8.81,0.0,0.0,8.35,0.0,5.26
F ,32721,54
L ,32723,95
I ,1,3,0,2,0,3,1,2,0.0,0.6013,0.476,0.4647,0.6988,0.1979,0.0,0.6636,8.8,0.0,0.0,8.73,0.0,5.57
F ,32731,52
L ,32733,95
I ,1,3,0,2,0,3,1,2,0.0,0.6007,0.475,0.4675,0.7011,0.1978,0.0,0.6617,8.8,0.0,0.0,9.06,0.0,5.98
F ,32739,52
I ,0,3,0,2,0,3,1,2,0.0,0.6007,0.4739,0.4704,0.7037,0.1976,0.0,0.6593,8.93,0.0,0.0,8.68,0.0,5.9
F ,32747,50
L ,32747,95
I ,0,3,0,2,0,3,1,2,0.0,0.6011,0.4726,0.4733,0.7066,0.1973,0.0,0.6565,8.93,0.0,0.0,8.61,0.11,5.82
F ,32759,49
L ,32759,95
I ,0,3,0,2,0,3,1,2,0.0,0.6021,0.471,0.4763,0.7097,0.197,0.0,0.6533,8.27,0.0,0.0,8.92,0.05,6.42
F ,32772,52
L ,32772,95
I ,0,3,0,2,0,3,1,2,0.0,0.6036,0.4691,0.4793,0.7131,0.1964,0.0,0.6499,8.46,0.0,0.0,7.63,0.0,6.07
F ,32781,52
L ,32781,95
L ,32783,95
I ,0,3,0,2,0,3,1,2,0.0,0.6055,0.4671,0.4826,0.7167,0.1957,0.0,0.6461,8.46,0.0,0.0,7.15,0.0,5.65
F ,32788,51
F ,32793,44
L ,32793,95
I ,0,3,0,2,0,3,1,2,0.0,0.6079,0.4651,0.4855,0.7205,0.1949,0.0,0.6419,9.42,0.0,0.0,6.07,0.0,4.73
L ,32803,94
I ,0,3,0,2,0,3,1,2,0.0,0.6104,0.4629,0.4886,0.7242,0.1945,0.0,0.6375,7.82,0.0,0.0,6.55,0.0,5.59
F ,32809,48
I ,0,3,0,2,0,3,1,2,0.0,0.6132,0.4602,0.492,0.7279,0.1942,0.0,0.6329,9.02,0.0,0.0,5.48,0.0,5.07
F ,32822,53
L ,32822,94
I ,0,3,0,2,0,3,1,2,0.0,0.6162,0.4574,0.4953,0.7314,0.1941,0.0,0.6284,11.1,0.0,0.0,14.06,0.0,6.61
F ,32831,55
L ,32831,95
I ,0,3,0,2,0,3,1,2,0.0,0.6192,0.4547,0.4984,0.7333,0.1965,0.0,0.6243,11.1,0.0,0.0,17.42,0.0,22.04
F ,32838,57
L ,32838,94
I ,0,3,0,2,0,3,1,2,0.0,0.6219,0.4519,0.5014,0.7353,0.1967,0.0,0.622,7.67,0.0,0.0,6.86,0.0,3.05
F ,32847,52
L ,32847,94
I ,0,3,0,2,0,3,1,2,0.0,0.6242,0.4488,0.5048,0.7367,0.1988,0.0,0.6205,6.59,0.0,0.0,11.69,2.04,15.76
F ,32859,56
L ,32859,94
I ,0,3,0,2,0,3,1,2,0.0,0.6271,0.4464,0.5069,0.7382,0.2006,0.0,0.6193,10.81,0.0,0.0,1.62,2.84,5.11
F ,32871,49
L ,32872,95
I ,0,3,0,2,0,3,1,2,0.0,0.6287,0.4458,0.5078,0.7401,0.2014,0.0,0.6179,11.21,0.25,0.0,6.36,0.2,9.81
F ,32881,41
L ,32881,94
I ,0,3,0,2,0,3,1,2,0.0,0.6287,0.4473,0.507,0.742,0.2023,0.0,0.6166,11.21,0.25,0.0,5.17,0.0,9.19
F ,32888,42
L ,32888,95
I ,0,3,0,2,0,3,1,2,0.0,0.6276,0.4495,0.5062,0.7435,0.2032,0.0,0.6157,9.61,1.87,0.0,8.13,2.95,10.77
F ,32897,40
L ,32800,0
I ,0,3,0,2,0,3,1,2,0.0,0.625,0.4524,0.5067,0.7463,0.2014,0.0,0.6153,9.82,3.93,0.0,6.34,3.07,9.85
F ,32922,10
I ,0,3,0,2,0,3,1,2,0.0,0.6241,0.4528,0.5107,0.7485,0.1956,0.0,0.6168,10.11,1.75,0.0,4.88,2.1,8.68
F ,32938,44
L ,536871040,48896
I ,0,3,0,2,0,3,1,2,0.0,0.6201,0.4526,0.5193,0.75,0.1835,0.0,0.6213,9.39,0.0,0.0,4.86,0.63,9.06
F ,32971,59
L ,32971,94
I ,0,3,0,2,0,3,1,2,0.0,0.617,0.4539,0.5215,0.7503,0.1787,0.0,0.623,9.92,0.0,0.0,2.51,1.34,8.27
F ,32981,57
L ,32981,94
I ,0,3,0,2,0,3,1,2,0.0,0.6134,0.4557,0.5232,0.7507,0.1739,0.0,0.6244,9.92,0.0,0.0,4.63,0.52,9.22
I ,0,3,0,2,0,3,1,2,0.0,0.6099,0.4575,0.525,0.751,0.1693,0.0,0.6257,10.85,1.75,0.0,3.86,0.1,187.2
I ,0,3,0,2,0,3,1,2,0.0,0.6043,0.4584,0.5311,0.7517,0.1616,0.0,0.6275,9.4,0.0,0.0,4.38,0.0,9.25
F ,33021,107
L ,33021,94
I ,0,3,0,2,0,3,1,2,0.0,0.6024,0.4577,0.535,0.7521,0.1586,0.0,0.6281,10.88,0.0,0.0,2.94,0.0,8.65
F ,33031,133
L ,33031,94
I ,0,3,0,2,0,3,1,2,0.0,0.6005,0.4569,0.5388,0.7524,0.1564,0.0,0.6286,10.88,0.0,0.0,2.93,0.0,7.76
F ,33038,145
L ,33038,94
I ,0,3,0,2,0,3,1,2,0.0,0.5985,0.4565,0.5421,0.7528,0.1547,0.0,0.6289,11.18,0.0,0.0,3.51,0.0,8.84
F ,33048,152
L ,33048,93
I ,0,3,0,2,0,3,1,2,0.0,0.5964,0.4562,0.545,0.753,0.1538,0.0,0.629,10.14,2.23,0.0,3.57,0.18,8.52
F ,33059,153
L ,33059,94
L ,33063,94
I ,0,3,0,2,0,3,1,2,0.0,0.5941,0.4562,0.5479,0.7532,0.1534,0.0,0.6289,9.72,3.0,0.0,3.84,0.61,8.81
F ,33071,180
I ,0,3,0,2,0,3,1,2,0.0,0.5919,0.4561,0.5507,0.7534,0.153,0.0,0.6289,9.03,2.88,0.07,3.5,1.26,8.59
F ,33080,194
L ,33080,94
I ,0,3,0,2,0,3,1,2,0.0,0.5897,0.4557,0.5536,0.7535,0.1524,0.0,0.629,9.03,2.88,0.07,3.77,0.93,8.85
F ,33088,197
L ,33088,94
I ,0,3,0,2,0,3,1,2,0.0,0.5878,0.455,0.5567,0.7535,0.1517,0.0,0.6291,9.61,2.69,0.0,4.03,0.44,8.77
F ,33098,199
L ,33098,94
I ,0,3,0,2,0,3,1,2,0.0,0.5861,0.4542,0.5597,0.7534,0.1511,0.0,0.6292,9.35,1.37,0.0,4.17,0.44,8.96
F ,33109,214
L ,33109,94
I ,0,3,0,2,0,3,1,2,0.0,0.5843,0.4536,0.5625,0.7534,0.1503,0.0,0.6294,9.38,1.37,0.4,3.63,0.34,8.52
F ,33120,220
L ,33120,94
I ,0,3,0,2,0,3,1,2,0.0,0.5824,0.4533,0.5647,0.7534,0.1497,0.0,0.6295,9.71,1.49,0.37,4.19,0.17,9.19
F ,33130,228
L ,33130,94
