Startup received!

I ,time,shin_cal_tot,shin_cal_gyr,shin_cal_acc,shin_cal_mag | foot_cal_tot,foot_cal_gyr,foot_cal_acc,foot_cal_mag | shin_qw,shin_qx,shin_qy,shin_qz | foot_qw,foot_qx,foot_qy,foot_qz | shin_ax,shin_ay,shin_az | foot_ax,foot_ay,foot_az
F ,time | val
L ,time | val
M ,time | potL_cur,potR_cur | potL_adj,potR_adj | targetPotL,targetPotR | motorCmdL,motorCmdR
LOG,time | msg
ERR,msg

LOG,105787 | Motors started.
I ,105805,3,3,1,3,0,3,1,2,-0.0739,0.7413,0.0576,0.6644,-0.7583,-0.1527,0.1567,-0.6139,9.68,-0.34,-1.08,4.17,0.31,8.81
F ,105805,361
L ,105805,96
I ,105815,3,3,1,3,0,3,1,2,-0.0739,0.7413,0.0576,0.6644,-0.7583,-0.1527,0.1567,-0.6139,9.67,-0.34,-1.07,4.17,0.33,8.84
F ,105815,361
L ,105815,96
I ,105825,3,3,1,3,0,3,1,2,-0.0739,0.7413,0.0576,0.6644,-0.7583,-0.1527,0.1567,-0.6139,9.65,-0.31,-1.04,4.17,0.31,8.82
F ,105825,361
L ,105825,97
L ,105827,97
I ,105835,3,3,1,3,0,3,1,2,-0.0739,0.7413,0.0576,0.6644,-0.7583,-0.1527,0.1567,-0.6139,9.67,-0.28,-1.01,4.15,0.33,8.81
F ,105835,361
I ,105842,3,3,1,3,0,3,1,2,-0.0739,0.7413,0.0576,0.6644,-0.7583,-0.1527,0.1567,-0.6139,9.67,-0.28,-1.01,4.17,0.28,8.8
F ,105842,363
L ,105842,97
I ,105855,3,3,1,3,0,3,1,2,-0.0739,0.7413,0.0576,0.6644,-0.7583,-0.1527,0.1567,-0.6139,9.65,-0.34,-1.01,4.17,0.31,8.81
F ,105855,361
L ,105855,96
I ,105865,3,3,1,3,0,3,1,2,-0.0739,0.7413,0.0576,0.6644,-0.7583,-0.1527,0.1567,-0.6139,9.67,-0.34,-1.04,4.15,0.28,8.78
F ,105865,361
L ,105865,96
I ,105875,3,3,1,3,0,3,1,2,-0.0739,0.7413,0.0576,0.6644,-0.7583,-0.1527,0.1567,-0.6139,9.67,-0.34,-1.04,4.17,0.31,8.78
F ,105875,360
L ,105875,97
I ,105885,3,3,1,3,0,3,1,2,-0.0739,0.7413,0.0576,0.6644,-0.7583,-0.1527,0.1567,-0.6139,9.68,-0.36,-1.0,4.15,0.31,8.8
F ,105885,361
L ,105885,97
I ,105891,3,3,1,3,0,3,1,2,-0.0739,0.7413,0.0576,0.6644,-0.7583,-0.1527,0.1567,-0.6139,9.65,-0.31,-1.02,4.17,0.31,8.81
F ,105891,361
L ,105891,97
F ,105897,359
L ,105897,96
I ,105905,3,3,1,3,0,3,1,2,-0.0739,0.7413,0.0576,0.6644,-0.7583,-0.1527,0.1567,-0.6139,9.68,-0.31,-1.01,4.17,0.31,8.82
I ,105915,3,3,1,3,0,3,1,2,-0.0739,0.7413,0.0576,0.6644,-0.7583,-0.1527,0.1567,-0.6139,9.68,-0.3,-0.99,4.15,0.34,8.81
F ,105915,361
L ,105915,96
F ,105917,358
L ,105917,97
I ,105925,3,3,1,3,0,3,1,2,-0.0739,0.7413,0.0576,0.6644,-0.7583,-0.1527,0.1567,-0.6139,9.68,-0.31,-1.0,4.15,0.28,8.8
I ,105936,3,3,1,3,0,3,1,2,-0.0739,0.7413,0.0576,0.6644,-0.7583,-0.1527,0.1567,-0.6139,9.67,-0.31,-1.02,4.17,0.31,8.81
F ,105936,361
L ,105936,96
I ,105941,3,3,1,3,0,3,1,2,-0.0739,0.7413,0.0576,0.6644,-0.7583,-0.1527,0.1567,-0.6139,9.67,-0.34,-1.01,4.17,0.31,8.8
F ,105941,361
L ,105941,97
F ,105947,359
L ,105947,96
I ,105955,3,3,1,3,0,3,1,2,-0.0739,0.7413,0.0576,0.6644,-0.7583,-0.1527,0.1567,-0.6139,9.67,-0.33,-1.01,4.15,0.28,8.84
I ,105965,3,3,1,3,0,3,1,2,-0.0739,0.7413,0.0576,0.6644,-0.7583,-0.1527,0.1567,-0.6139,9.67,-0.33,-1.03,4.17,0.31,8.85
F ,105965,361
L ,105965,97
I ,105975,3,3,1,3,0,3,1,2,-0.0739,0.7413,0.0576,0.6644,-0.7583,-0.1527,0.1567,-0.6139,9.67,-0.34,-1.01,4.17,0.31,8.78
F ,105975,360
L ,105975,96
I ,105986,3,3,1,3,0,3,1,2,-0.0739,0.7413,0.0576,0.6644,-0.7583,-0.1527,0.1567,-0.6139,9.67,-0.31,-1.03,4.17,0.31,8.8
F ,105986,361
L ,105986,96
I ,105991,3,3,1,3,0,3,1,2,-0.0739,0.7413,0.0576,0.6644,-0.7583,-0.1527,0.1567,-0.6139,9.64,-0.3,-1.01,4.15,0.3,8.81
F ,105991,361
L ,105991,98
I ,106005,3,3,1,3,0,3,1,2,-0.0739,0.7413,0.0576,0.6644,-0.7583,-0.1527,0.1567,-0.6139,9.65,-0.31,-1.01,4.17,0.31,8.81
F ,106005,362
L ,106005,97
I ,106015,3,3,1,3,0,3,1,2,-0.0739,0.7413,0.0576,0.6644,-0.7583,-0.1527,0.1567,-0.6139,9.67,-0.31,-1.0,4.15,0.33,8.8
F ,106015,362
L ,106016,96
I ,106025,3,3,1,3,0,3,1,2,-0.0739,0.7413,0.0576,0.6644,-0.7583,-0.1527,0.1567,-0.6139,9.68,-0.31,-1.01,4.15,0.31,8.77
F ,106025,362
L ,106025,97
I ,106036,3,3,1,3,0,3,1,2,-0.0739,0.7413,0.0576,0.6644,-0.7583,-0.1527,0.1567,-0.6139,9.68,-0.34,-1.01,4.17,0.33,8.8
F ,106036,361
L ,106036,96
I ,106041,3,3,1,3,0,3,1,2,-0.0739,0.7413,0.0576,0.6644,-0.7583,-0.1527,0.1567,-0.6139,9.65,-0.34,-1.01,4.17,0.34,8.81
F ,106041,361
L ,106041,97
F ,106047,359
L ,106047,96
I ,106056,3,3,1,3,0,3,1,2,-0.0739,0.7413,0.0576,0.6644,-0.7583,-0.1527,0.1567,-0.6139,9.65,-0.34,-1.01,4.17,0.31,8.81
I ,106066,3,3,1,3,0,3,1,2,-0.0739,0.7413,0.0576,0.6644,-0.7583,-0.1527,0.1567,-0.6139,9.65,-0.33,-1.02,4.17,0.3,8.81
F ,106066,361
L ,106066,97
I ,106075,3,3,1,3,0,3,1,2,-0.0739,0.7413,0.0576,0.6644,-0.7583,-0.1527,0.1567,-0.6139,9.67,-0.31,-1.01,4.17,0.31,8.77
F ,106075,362
L ,106075,97
I ,106086,3,3,1,3,0,3,1,2,-0.0739,0.7413,0.0576,0.6644,-0.7583,-0.1527,0.1567,-0.6139,9.64,-0.31,-1.08,4.17,0.31,8.81
F ,106086,361
L ,106086,96
F ,106087,359
L ,106087,97
I ,106092,3,3,1,3,0,3,1,2,-0.0739,0.7413,0.0576,0.6644,-0.7583,-0.1527,0.1567,-0.6139,9.65,-0.34,-1.02,4.17,0.31,8.81
I ,106106,3,3,1,3,0,3,1,2,-0.0739,0.7413,0.0576,0.6644,-0.7583,-0.1527,0.1567,-0.6139,9.67,-0.31,-1.01,4.17,0.31,8.8
F ,106106,360
L ,106106,97
I ,106116,3,3,1,3,0,3,1,2,-0.0739,0.7413,0.0576,0.6644,-0.7583,-0.1527,0.1567,-0.6139,9.68,-0.33,-1.04,4.15,0.31,8.78
F ,106116,362
L ,106116,97
I ,106126,3,3,1,3,0,3,1,2,-0.0739,0.7413,0.0576,0.6644,-0.7583,-0.1527,0.1567,-0.6139,9.64,-0.31,-1.05,4.17,0.33,8.76
F ,106126,361
L ,106126,97
I ,106136,3,3,1,3,0,3,1,2,-0.0739,0.7413,0.0576,0.6644,-0.7583,-0.1527,0.1567,-0.6139,9.67,-0.33,-1.01,4.17,0.31,8.82
F ,106136,361
L ,106136,97
I ,106141,3,3,1,3,0,3,1,2,-0.0739,0.7413,0.0576,0.6644,-0.7583,-0.1527,0.1567,-0.6139,9.68,-0.34,-1.01,4.17,0.3,8.81
F ,106141,361
L ,106141,97
I ,106156,3,3,1,3,0,3,1,2,-0.0739,0.7413,0.0576,0.6644,-0.7583,-0.1527,0.1567,-0.6139,9.64,-0.33,-1.01,4.17,0.31,8.81
F ,106156,362
L ,106156,97
I ,106166,3,3,1,3,0,3,1,2,-0.0739,0.7413,0.0576,0.6644,-0.7583,-0.1527,0.1567,-0.6139,9.64,-0.31,-1.01,4.17,0.31,8.77
F ,106166,362
L ,106166,96
I ,106174,3,3,1,3,0,3,1,2,-0.0739,0.7413,0.0576,0.6644,-0.7583,-0.1527,0.1567,-0.6139,9.67,-0.31,-1.05,4.15,0.3,8.76
