L ,66827,317
I ,66832,3,3,0,3,2,3,1,3,0.0073,0.7413,-0.1654,0.6503,0.319,0.1433,-0.12,0.9291,9.1,-3.36,-1.32,3.33,-1.03,9.21
F ,66832,244
I ,66842,3,3,0,3,2,3,1,3,0.0073,0.7425,-0.1671,0.6485,0.3192,0.1434,-0.1208,0.9289,8.98,-3.17,-0.83,3.33,-1.27,9.07
F ,66842,229
L ,66842,320
I ,66854,3,3,0,3,2,3,1,3,0.0071,0.7438,-0.1684,0.6467,0.3193,0.1436,-0.1215,0.9287,9.19,-2.91,-0.51,3.07,-0.98,8.98
F ,66854,198
L ,66855,323
I ,66865,3,3,0,3,2,3,1,3,0.0068,0.7453,-0.1695,0.6447,0.3195,0.1437,-0.122,0.9285,9.5,-2.01,-0.44,3.23,-1.0,9.19
F ,66865,156
L ,66865,326
I ,66874,3,3,0,3,2,3,1,3,0.0065,0.7467,-0.1707,0.6427,0.3198,0.1438,-0.1223,0.9284,9.26,-1.5,-0.46,3.28,-1.19,9.18
F ,66874,152
L ,66874,329
I ,66882,3,3,0,3,2,3,1,3,0.0075,0.7481,-0.1731,0.6405,0.3201,0.1441,-0.1227,0.9282,9.18,-1.32,-0.47,3.28,-1.19,9.18
F ,66882,166
L ,66882,331
I ,66892,3,3,0,3,2,3,1,3,0.0081,0.7496,-0.1749,0.6381,0.3204,0.1443,-0.1229,0.9281,9.27,-1.71,-0.81,3.23,-0.98,9.01
F ,66892,164
L ,66892,335
I ,66904,3,3,0,3,2,3,1,3,0.0087,0.7513,-0.1768,0.6356,0.3209,0.1447,-0.1231,0.9278,9.18,-2.41,-1.48,3.29,-1.11,9.11
F ,66904,166
L ,66904,339
I ,66914,3,3,0,3,2,3,1,3,0.0091,0.7531,-0.1782,0.6332,0.3212,0.145,-0.1233,0.9276,9.4,-2.52,-1.73,3.32,-1.09,9.02
F ,66914,158
L ,66915,343
I ,66924,3,3,0,3,2,3,1,3,0.0091,0.7548,-0.1794,0.6307,0.3216,0.1455,-0.1235,0.9274,9.68,-2.25,-2.13,3.52,-1.02,9.07
F ,66924,136
L ,66924,348
I ,66932,3,3,0,3,2,3,1,3,0.0089,0.7565,-0.1802,0.6285,0.322,0.1459,-0.1237,0.9271,9.11,-1.83,-2.26,3.52,-1.02,9.07
F ,66932,121
L ,66932,349
I ,66942,3,3,0,3,2,3,1,3,0.0086,0.7583,-0.181,0.6261,0.3224,0.1466,-0.1238,0.9269,9.64,-1.5,-2.7,3.55,-1.11,9.18
F ,66942,133
L ,66942,352
I ,66953,3,3,0,3,2,3,1,3,0.0084,0.76,-0.1818,0.6239,0.3227,0.1472,-0.124,0.9266,9.56,-1.85,-3.1,3.58,-0.92,9.1
F ,66953,135
L ,66953,355
I ,66964,3,3,0,3,2,3,1,3,0.0084,0.7616,-0.1828,0.6215,0.3231,0.1478,-0.124,0.9264,9.76,-1.55,-2.76,3.43,-1.19,9.07
F ,66965,111
L ,66965,357
L ,66967,357
I ,66974,3,3,0,3,2,3,1,3,0.0087,0.7632,-0.184,0.6192,0.3234,0.1484,-0.1243,0.9262,9.68,-1.96,-2.79,3.49,-1.05,9.02
F ,66974,113
I ,66981,3,3,0,3,2,3,1,3,0.0091,0.7648,-0.1851,0.6169,0.3238,0.1491,-0.1245,0.9259,9.6,-1.79,-2.25,3.49,-1.05,9.02
F ,66982,101
L ,66982,360
I ,66991,3,3,0,3,2,3,1,3,0.0098,0.7664,-0.1865,0.6145,0.3242,0.15,-0.1248,0.9256,9.77,-1.63,-2.2,3.53,-0.95,9.03
F ,66992,111
L ,66992,360
I ,67004,3,3,0,3,2,3,1,3,0.0106,0.768,-0.1881,0.612,0.3247,0.1509,-0.125,0.9252,9.56,-1.47,-1.5,2.99,-1.12,8.98
F ,67004,89
L ,67004,362
I ,67014,3,3,0,3,2,3,1,3,0.0116,0.7697,-0.1898,0.6093,0.3251,0.1519,-0.1255,0.9248,9.6,-1.64,-0.62,3.29,-0.8,9.09
F ,67014,78
L ,67014,362
I ,67024,3,3,0,3,2,3,1,3,0.013,0.7715,-0.1917,0.6064,0.3257,0.1533,-0.1262,0.9243,9.68,-1.97,-0.36,3.56,-1.04,8.88
F ,67024,86
L ,67024,363
I ,67032,3,3,0,3,2,3,1,3,0.0146,0.7735,-0.1937,0.6032,0.3262,0.1548,-0.1268,0.9238,9.42,-2.1,0.01,3.56,-1.04,8.88
F ,67032,72
L ,67032,364
I ,67041,3,3,0,3,2,3,1,3,0.0162,0.7758,-0.1956,0.5996,0.3268,0.1567,-0.1275,0.9232,9.32,-2.58,0.0,3.52,-1.02,8.97
F ,67042,73
L ,67042,365
I ,67054,3,3,0,3,2,3,1,3,0.0177,0.7782,-0.1973,0.5958,0.3275,0.1587,-0.1281,0.9225,9.13,-3.25,-0.34,3.63,-1.19,8.77
F ,67054,94
L ,67054,368
I ,67064,3,3,0,3,2,3,1,3,0.019,0.7809,-0.1987,0.5918,0.3281,0.161,-0.1287,0.9218,9.15,-3.14,0.0,3.72,-1.25,8.85
F ,67064,85
L ,67064,369
I ,67074,3,3,0,3,2,3,1,3,0.0202,0.7838,-0.1998,0.5875,0.3289,0.1636,-0.1292,0.921,9.32,-3.49,-0.5,3.75,-1.13,8.82
F ,67074,82
L ,67074,371
I ,67081,3,3,0,3,2,3,1,3,0.0215,0.7869,-0.201,0.5829,0.3298,0.1666,-0.1295,0.9201,9.78,-3.78,-0.15,3.75,-1.13,8.82
F ,67081,85
L ,67081,372
I ,67091,3,3,0,3,2,3,1,3,0.0222,0.7904,-0.2014,0.578,0.3308,0.1698,-0.1298,0.9191,9.17,-4.17,-0.1,3.92,-1.03,8.81
F ,67091,80
L ,67091,375
I ,67104,3,3,0,3,2,3,1,3,0.0228,0.7941,-0.2013,0.5728,0.3319,0.1734,-0.1299,0.918,9.26,-3.85,0.31,3.83,-1.12,8.77
F ,67104,73
L ,67104,377
F ,67107,70
L ,67107,377
I ,67114,3,3,0,3,2,3,1,3,0.0233,0.7982,-0.2011,0.5673,0.3331,0.1774,-0.1299,0.9168,9.4,-3.51,0.2,4.0,-1.08,8.67
I ,67123,3,3,0,3,2,3,1,3,0.024,0.8025,-0.2008,0.5612,0.3345,0.1819,-0.1298,0.9155,9.5,-2.66,0.1,4.17,-1.13,8.65
F ,67123,77
L ,67123,378
I ,67131,3,3,0,3,2,3,1,3,0.0252,0.807,-0.201,0.5546,0.3361,0.1868,-0.1296,0.9139,9.47,-2.44,-0.1,4.17,-1.13,8.65
F ,67131,74
L ,67131,378
L ,67137,379
I ,67141,3,3,0,3,2,3,1,3,0.027,0.8117,-0.2014,0.5474,0.338,0.1923,-0.1295,0.9121,9.43,-2.1,-0.37,4.3,-1.12,8.77
F ,67141,68
I ,67154,3,3,0,3,2,3,1,3,0.0291,0.8166,-0.2021,0.5397,0.3402,0.1983,-0.1294,0.91,9.14,-2.0,-0.62,4.3,-0.17,8.11
F ,67154,55
L ,67154,378
I ,67164,3,3,0,3,2,3,1,3,0.0315,0.8217,-0.203,0.5315,0.3424,0.2049,-0.1295,0.9077,10.73,-1.45,-1.47,4.48,-1.75,8.75
F ,67164,55
L ,67164,374
L ,67167,373
I ,67174,3,3,0,3,2,3,1,3,0.0343,0.8268,-0.2042,0.5229,0.3448,0.2119,-0.1297,0.9051,11.06,-1.51,-1.24,4.19,-1.1,8.4
F ,67174,59
L ,67177,363
I ,67181,3,3,0,3,2,3,1,3,0.0371,0.8322,-0.2049,0.5138,0.3472,0.2194,-0.13,0.9024,11.05,-1.73,-1.34,4.19,-1.1,8.4
F ,67181,58
I ,67191,3,3,0,3,2,3,1,3,0.04,0.8375,-0.2058,0.5044,0.3491,0.2278,-0.1306,0.8994,11.18,-1.76,-0.99,4.69,-0.43,8.64
F ,67191,57
L ,67191,341
I ,67204,3,3,0,3,2,3,1,3,0.0424,0.8431,-0.2064,0.4946,0.3507,0.2371,-0.1315,0.8963,10.85,-0.92,0.37,4.4,-0.44,9.4
F ,67204,69
L ,67204,316
I ,67214,3,3,0,3,2,3,1,3,0.0442,0.8489,-0.2066,0.4843,0.3516,0.247,-0.1328,0.8931,10.72,-0.85,1.0,4.94,-0.31,9.02
F ,67214,63
L ,67214,294
I ,67224,3,3,0,3,2,3,1,3,0.0457,0.8549,-0.2064,0.4736,0.3517,0.2577,-0.1342,0.8898,10.73,-0.34,1.46,4.63,-0.55,8.9
F ,67224,63
L ,67224,269
I ,67231,3,3,0,3,2,3,1,3,0.0466,0.8614,-0.205,0.4622,0.3505,0.269,-0.136,0.8866,10.03,-0.05,2.64,4.63,-0.55,8.9
F ,67231,68
L ,67231,248
